Client_name;grade;emp_title;emp_length;home_ownership;annual_inc;addr_state;riesgo
64972117;C;Research Specialist ;10+ years;RENT;80000.0;OH;Bajo riesgo
46666131;D;Assistant manager;< 1 year;RENT;31500.0;CA;Bajo riesgo
66473639;C;Office Manager;8 years;MORTGAGE;45000.0;CT;Alto riesgo
28500374;C;pvd operator;5 years;MORTGAGE;40000.0;MI;Alto riesgo
996162;B;Safebit Solutions Inc;5 years;RENT;75000.0;TX;Bajo riesgo
60234745;D;carrier;10+ years;RENT;58000.0;CA;Bajo riesgo
70418926;B;Store Manager;2 years;MORTGAGE;35000.0;KY;Alto riesgo
28450964;B;Corporate Accountant;10+ years;RENT;62000.0;CO;Bajo riesgo
66333916;F;Director,physical therapy;10+ years;RENT;112000.0;CT;Bajo riesgo
11979104;C;Associate Professor;7 years;RENT;100000.0;CT;Bajo riesgo
43387337;C;Health Scientist;< 1 year;RENT;91500.0;GA;Bajo riesgo
58239238;B;Housekeeping Manager;3 years;RENT;55000.0;CO;Bajo riesgo
11266933;B;Certified Veterinary Technician;10+ years;RENT;35000.0;FL;Bajo riesgo
42383345;B;Deputy Warden;10+ years;OWN;67757.36;AZ;Sin riesgo
59671391;E;Maint Officer ;9 years;RENT;77457.0;CA;Bajo riesgo
41389485;D;auto body tech;10+ years;MORTGAGE;69000.0;PA;Alto riesgo
1741580;B;Project Renewal;2 years;RENT;40000.0;NY;Bajo riesgo
61596409;D;Deputy;10+ years;MORTGAGE;38000.0;TN;Alto riesgo
8126823;E;Park Inc;< 1 year;RENT;61000.0;NC;Bajo riesgo
1196494;C;regence;10+ years;MORTGAGE;82000.0;OR;Alto riesgo
45292523;E;Supply Operator ;4 years;MORTGAGE;48000.0;MO;Alto riesgo
69504297;E;Rest;;RENT;90000.0;NC;Bajo riesgo
7231113;C;windstream communications;5 years;MORTGAGE;64000.0;TX;Alto riesgo
66812053;C;teacher;10+ years;MORTGAGE;72000.0;TX;Alto riesgo
71131411;A;Director;10+ years;MORTGAGE;80000.0;MS;Alto riesgo
41004969;A;owner;10+ years;OWN;60000.0;SC;Sin riesgo
8755368;A;American Express;3 years;MORTGAGE;88000.0;AZ;Alto riesgo
60344412;A;Social Welfare Examiner;10+ years;OWN;40000.0;NY;Sin riesgo
61874363;E;Patient Services Coordinator;8 years;MORTGAGE;60000.0;NC;Alto riesgo
12020672;C;Rest;;OWN;12720.0;FL;Sin riesgo
65586907;B;Operations Supervisor;5 years;MORTGAGE;64000.0;VA;Alto riesgo
64576836;A;Sales Manager;10+ years;MORTGAGE;105000.0;VA;Alto riesgo
19927689;B;Subscriber Tickets Services Coordinator;7 years;RENT;28080.0;WA;Bajo riesgo
47477059;B;VP;5 years;RENT;120000.0;NY;Bajo riesgo
9898586;D;Digital Content Producer;1 year;RENT;56000.0;CA;Bajo riesgo
40363409;B;Accounting;1 year;OWN;39000.0;FL;Sin riesgo
45360008;C;Manager Quality Assurance;2 years;MORTGAGE;116000.0;PA;Alto riesgo
19787842;D;Operations Manager;1 year;MORTGAGE;70000.0;TX;Alto riesgo
58992736;B;Food Service Director;3 years;MORTGAGE;82400.0;VA;Alto riesgo
59702865;B;Membership Executive;3 years;MORTGAGE;180000.0;FL;Alto riesgo
60838875;B;rn;10+ years;OWN;80000.0;OH;Sin riesgo
11729587;A;Team Lead/FSO;2 years;RENT;70500.0;DC;Bajo riesgo
54535159;C;Owner operator;3 years;RENT;84000.0;CA;Bajo riesgo
9034455;A;Nurse Practitioner;3 years;MORTGAGE;110000.0;TX;Alto riesgo
66732171;A;Manager;< 1 year;MORTGAGE;150000.0;TX;Alto riesgo
10329429;B;manager;10+ years;MORTGAGE;78000.0;NJ;Alto riesgo
1440888;C;Advance Auto Parts;5 years;MORTGAGE;37000.0;NY;Alto riesgo
67522277;A;HUMAN RESOURCE SPEC;4 years;MORTGAGE;75000.0;IL;Alto riesgo
28861955;C;Sales/Customer servicee;3 years;MORTGAGE;42000.0;NY;Alto riesgo
54586627;E;Account Specialist ;2 years;RENT;33000.0;OH;Bajo riesgo
