Date,Alemania,Sudáfrica,España
2020-01-22 00:00:00+00:00,0,0,0
2020-01-23 00:00:00+00:00,0,0,0
2020-01-24 00:00:00+00:00,0,0,0
2020-01-25 00:00:00+00:00,0,0,0
2020-01-26 00:00:00+00:00,0,0,0
2020-01-27 00:00:00+00:00,1,0,0
2020-01-28 00:00:00+00:00,4,0,0
2020-01-29 00:00:00+00:00,4,0,0
2020-01-30 00:00:00+00:00,4,0,0
2020-01-31 00:00:00+00:00,5,0,0
2020-02-01 00:00:00+00:00,8,0,1
2020-02-02 00:00:00+00:00,10,0,1
2020-02-03 00:00:00+00:00,12,0,1
2020-02-04 00:00:00+00:00,12,0,1
2020-02-05 00:00:00+00:00,12,0,1
2020-02-06 00:00:00+00:00,12,0,1
2020-02-07 00:00:00+00:00,13,0,1
2020-02-08 00:00:00+00:00,13,0,1
2020-02-09 00:00:00+00:00,14,0,2
2020-02-10 00:00:00+00:00,14,0,2
2020-02-11 00:00:00+00:00,16,0,2
2020-02-12 00:00:00+00:00,16,0,2
2020-02-13 00:00:00+00:00,16,0,2
2020-02-14 00:00:00+00:00,16,0,2
2020-02-15 00:00:00+00:00,16,0,2
2020-02-16 00:00:00+00:00,16,0,2
2020-02-17 00:00:00+00:00,16,0,2
2020-02-18 00:00:00+00:00,16,0,2
2020-02-19 00:00:00+00:00,16,0,2
2020-02-20 00:00:00+00:00,16,0,2
2020-02-21 00:00:00+00:00,16,0,2
2020-02-22 00:00:00+00:00,16,0,2
2020-02-23 00:00:00+00:00,16,0,2
2020-02-24 00:00:00+00:00,16,0,2
2020-02-25 00:00:00+00:00,16,0,6
2020-02-26 00:00:00+00:00,21,0,13
2020-02-27 00:00:00+00:00,26,0,15
2020-02-28 00:00:00+00:00,53,0,32
2020-02-29 00:00:00+00:00,66,0,45
2020-03-01 00:00:00+00:00,117,0,84
2020-03-02 00:00:00+00:00,150,0,120
2020-03-03 00:00:00+00:00,188,0,165
2020-03-04 00:00:00+00:00,262,0,222
2020-03-05 00:00:00+00:00,400,1,259
2020-03-06 00:00:00+00:00,639,1,400
2020-03-07 00:00:00+00:00,795,1,500
2020-03-08 00:00:00+00:00,902,3,673
2020-03-09 00:00:00+00:00,1139,3,1073
2020-03-10 00:00:00+00:00,1296,7,1695
2020-03-11 00:00:00+00:00,1567,13,2277
2020-03-12 00:00:00+00:00,2369,17,2277
2020-03-13 00:00:00+00:00,3062,24,5232
2020-03-14 00:00:00+00:00,3795,38,6391
2020-03-15 00:00:00+00:00,4838,51,7798
2020-03-16 00:00:00+00:00,6012,62,9942
2020-03-17 00:00:00+00:00,7156,62,11748
2020-03-18 00:00:00+00:00,8198,116,13910
2020-03-19 00:00:00+00:00,10999,150,17963
2020-03-20 00:00:00+00:00,13957,202,20410
2020-03-21 00:00:00+00:00,16662,240,25374
2020-03-22 00:00:00+00:00,18610,274,28768
2020-03-23 00:00:00+00:00,22672,402,35136
2020-03-24 00:00:00+00:00,27436,554,39885
