code_ine,Nombre,Votantes,Nulos,VotosValidos(votantes-nulos),VotosSinRepresentacion,CandidaturasSinRepresentacion,%SinRepresentacion(votantes-nulos),VotosValidos(enblanco+candidaturas),%SinRepresentacion(enblanco+candidaturas)
34073737014,Aldeadávila de la Ribera,911,4,907,1,1,"0,11%",907,"0,11%"
34012121057,Paymogo,766,6,760,1,1,"0,13%",760,"0,13%"
34164848025,Zeberio,710,8,702,1,1,"0,14%",702,"0,14%"
34025050073,Cariñena,1811,20,1791,3,1,"0,17%",1791,"0,17%"
34121515068,Ponteceso,3590,48,3542,6,1,"0,17%",3542,"0,17%"
34011818072,Escúzar,579,11,568,1,1,"0,18%",568,"0,18%"
34010404043,Felix,561,4,557,1,1,"0,18%",557,"0,18%"
34070505207,San Esteban del Valle,550,5,545,1,1,"0,18%",545,"0,18%"
34070505127,Mijares,531,15,516,1,1,"0,19%",516,"0,19%"
34074747232,La Zarza,83,11,72,5,1,"6,94%",63,"7,94%"
34164848049,Ispaster,451,10,441,1,1,"0,23%",441,"0,23%"
34110606111,Rena,423,1,422,1,1,"0,24%",422,"0,24%"
34080202901,Pozo Cañada,1659,45,1614,4,1,"0,25%",1614,"0,25%"
34063939021,Cieza,411,18,393,44,1,"11,20%",393,"11,20%"
34164848072,Otxandio,712,13,699,2,1,"0,29%",699,"0,29%"
34123636045,Redondela,15789,269,15520,45,1,"0,29%",15520,"0,29%"
34111010062,Cedillo,350,6,344,1,1,"0,29%",344,"0,29%"
34074747210,Villalar de los Comuneros,330,10,320,1,1,"0,31%",320,"0,31%"
34011818051,Colomera,903,6,897,3,1,"0,33%",897,"0,33%"
34164848911,Ajangiz,299,3,296,1,1,"0,34%",296,"0,34%"
34011111025,Paterna de Rivera,3508,41,3467,12,1,"0,35%",3467,"0,35%"
34084545010,Aldeanueva de San Bartolomé,288,3,285,1,1,"0,35%",285,"0,35%"
34011818063,Darro,844,15,829,3,1,"0,36%",829,"0,36%"
34092525033,Artesa de Lleida,822,14,808,3,1,"0,37%",808,"0,37%"
34074949208,San Vicente de la Cabeza,265,7,258,1,1,"0,39%",258,"0,39%"
34164848063,Mendexa,264,15,249,1,1,"0,40%",249,"0,40%"
34111010111,Madrigal de la Vera,1014,24,990,4,1,"0,40%",990,"0,40%"
34164848024,Zeanuri,753,17,736,3,1,"0,41%",736,"0,41%"
34074747163,Tiedra,244,1,243,1,1,"0,41%",243,"0,41%"
34164848915,Ziortza-Bolibar,244,6,238,1,1,"0,42%",238,"0,42%"
34132828021,El Berrueco,455,6,449,2,1,"0,45%",449,"0,45%"
34164848048,Ibarrangelu,458,11,447,2,1,"0,45%",447,"0,45%"
34094343035,Cabacés,219,7,212,1,1,"0,47%",212,"0,47%"
34072424112,Peranzanes,211,2,209,1,1,"0,48%",209,"0,48%"
34022222220,Sesa,132,2,130,1,1,"0,77%",205,"0,49%"
34074949241,Villaescusa,190,5,185,12,2,"6,49%",171,"7,02%"
34072424194,Vegacervera,201,2,199,1,1,"0,50%",199,"0,50%"
34010404094,Turrillas,198,0,198,1,1,"0,51%",198,"0,51%"
34025050045,Belchite,994,25,969,5,1,"0,52%",969,"0,52%"
34110606005,La Albuera,1186,44,1142,6,1,"0,53%",1142,"0,53%"
34025050131,Jaulín,193,3,190,1,1,"0,53%",190,"0,53%"
34074949142,Palacios del Pan,183,1,182,1,1,"0,55%",182,"0,55%"
34012929904,Serrato,364,1,363,2,1,"0,55%",363,"0,55%"
34160101052,Samaniego,182,5,177,1,1,"0,56%",177,"0,56%"
34025050068,Calatorao,1410,23,1387,8,1,"0,58%",1387,"0,58%"
34164848028,Ea,529,12,517,3,1,"0,58%",517,"0,58%"
34070505008,Aldeaseca,171,1,170,1,1,"0,59%",170,"0,59%"
34011414073,Villaviciosa de Córdoba,1938,70,1868,11,1,"0,59%",1868,"0,59%"
34011818024,Beas de Granada,686,10,676,4,1,"0,59%",676,"0,59%"
34073737335,Valdelosa,340,3,337,2,1,"0,59%",337,"0,59%"
34162020039,Getaria,1688,20,1668,10,1,"0,60%",1668,"0,60%"
34090808243,Santa Cecília de Voltregà,95,2,93,1,1,"1,08%",163,"0,61%"
34074242078,Duruelo de la Sierra,824,18,806,5,1,"0,62%",806,"0,62%"
34074949261,Villaralbo,976,12,964,6,1,"0,62%",964,"0,62%"
34121515054,Narón,16283,186,16097,101,1,"0,63%",16097,"0,63%"
34011414038,Lucena,20439,266,20173,132,1,"0,65%",20173,"0,65%"
34011414045,Moriles,2456,53,2403,16,1,"0,67%",2403,"0,67%"
34092525055,Biosca,118,3,115,1,1,"0,87%",147,"0,68%"
34080202057,Ossa de Montiel,1487,25,1462,10,1,"0,68%",1462,"0,68%"
34091717050,Cervià de Ter,582,5,577,4,1,"0,69%",577,"0,69%"
34025050172,Monreal de Ariza,146,0,146,1,1,"0,68%",144,"0,69%"
34074949090,Gema,151,2,149,1,1,"0,67%",144,"0,69%"
34011818067,Diezma,571,2,569,4,2,"0,70%",569,"0,70%"
34074949052,Coomonte,150,2,148,1,1,"0,68%",142,"0,70%"
34101212045,Cinctorres,296,12,284,2,1,"0,70%",284,"0,70%"
34011818027,Benalúa,1986,14,1972,14,1,"0,71%",1972,"0,71%"
34084545098,Menasalbas,1473,67,1406,10,1,"0,71%",1406,"0,71%"
34143030006,Aledo,844,2,842,6,1,"0,71%",842,"0,71%"
34123232019,O Carballiño,7724,108,7616,55,1,"0,72%",7616,"0,72%"
34091717151,Riumors,152,2,150,1,1,"0,67%",138,"0,72%"
34011818054,Cortes y Graena,694,4,690,5,1,"0,72%",690,"0,72%"
34143030021,Fuente Álamo de Murcia,6541,70,6471,47,1,"0,73%",6471,"0,73%"
34025050264,Tosos,139,0,139,1,1,"0,72%",136,"0,74%"
34074949037,Carbellino,147,0,147,1,1,"0,68%",136,"0,74%"
34110606095,Olivenza,6940,288,6652,49,1,"0,74%",6652,"0,74%"
34091717198,Torroella de Fluvià,409,6,403,3,1,"0,74%",403,"0,74%"
34070505160,Navalosa,267,0,267,2,1,"0,75%",267,"0,75%"
34012929033,Canillas de Aceituno,940,14,926,7,1,"0,76%",926,"0,76%"
34162020042,Ibarra,1734,20,1714,13,1,"0,76%",1714,"0,76%"
34053535005,Artenara,801,11,790,6,2,"0,76%",790,"0,76%"
34024444055,Camarillas,109,3,106,1,1,"0,94%",131,"0,76%"
34164848018,Berriatua,527,3,524,4,1,"0,76%",524,"0,76%"
34164848066,Morga,262,0,262,2,1,"0,76%",262,"0,76%"
34070505057,Cebreros,1907,76,1831,14,1,"0,76%",1831,"0,76%"
34101212084,Onda,12708,156,12552,96,1,"0,76%",12552,"0,76%"
34012121048,Los Marines,268,7,261,2,1,"0,77%",261,"0,77%"
34022222124,Huerto,139,2,137,1,1,"0,73%",130,"0,77%"
34104646135,Godella,7478,65,7413,59,1,"0,80%",7413,"0,80%"
34091717112,Ogassa,173,0,173,2,1,"1,16%",250,"0,80%"
34012929081,Pujerra,250,1,249,2,1,"0,80%",249,"0,80%"
34011818050,Cogollos de la Vega,1270,26,1244,10,1,"0,80%",1244,"0,80%"
34014141080,El Real de la Jara,1005,11,994,8,1,"0,80%",994,"0,80%"
34070505231,San Vicente de Arévalo,134,3,131,1,1,"0,76%",124,"0,81%"
34011111002,Alcalá del Valle,3741,48,3693,30,2,"0,81%",3693,"0,81%"
34092525247,Vilamòs,134,3,131,1,1,"0,76%",123,"0,81%"
34090808281,Teià,2891,71,2820,23,1,"0,82%",2820,"0,82%"
34024444027,Arens de Lledó,108,2,106,1,1,"0,94%",122,"0,82%"
34092525068,Castellnou de Seana,371,7,364,3,1,"0,82%",364,"0,82%"
34053535001,Agaete,3645,50,3595,30,1,"0,83%",3595,"0,83%"
34100303044,Bigastro,3741,51,3690,31,1,"0,84%",3690,"0,84%"
34090808090,Gaià,121,1,120,1,1,"0,83%",118,"0,85%"
34143030008,Alhama de Murcia,10127,120,10007,85,1,"0,85%",10007,"0,85%"
34162020044,Ikaztegieta,237,2,235,2,1,"0,85%",235,"0,85%"
34074949130,Morales de Valverde,122,1,121,1,1,"0,83%",117,"0,85%"
34104646102,Quart de Poblet,14054,138,13916,119,1,"0,86%",13916,"0,86%"
34164848022,Karrantza Harana/Valle de Carranza,1767,20,1747,15,2,"0,86%",1747,"0,86%"
34110606026,Calera de León,719,27,692,6,1,"0,87%",692,"0,87%"
34012323087,Torredonjimeno,7402,173,7229,63,1,"0,87%",7229,"0,87%"
34011414044,Monturque,1297,39,1258,11,1,"0,87%",1258,"0,87%"
34091717056,Cornellà del Terri,1169,27,1142,10,1,"0,88%",1142,"0,88%"
34025050086,Codos,119,0,119,1,1,"0,84%",114,"0,88%"
34164848068,Mundaka,1168,33,1135,10,1,"0,88%",1135,"0,88%"
34121515071,Porto do Son,5510,68,5442,48,1,"0,88%",5442,"0,88%"
34010404060,Lucainena de las Torres,453,3,450,4,1,"0,89%",450,"0,89%"
34104646045,Barxeta,1035,23,1012,9,1,"0,89%",1012,"0,89%"
34091717037,Campelles,115,0,115,1,1,"0,87%",112,"0,89%"
34070505167,Navarrevisca,228,4,224,2,1,"0,89%",224,"0,89%"
34104646068,Benissoda,348,12,336,3,1,"0,89%",336,"0,89%"
34074040149,Olombrada,343,10,333,3,1,"0,90%",333,"0,90%"
34092525141,Montoliu de Segarra,119,1,118,1,1,"0,85%",110,"0,91%"
34092525202,Senterada,72,1,71,1,1,"1,41%",109,"0,92%"
34011414014,Cañete de las Torres,1972,27,1945,18,1,"0,93%",1945,"0,93%"
34094343103,Perafort,767,12,755,7,1,"0,93%",755,"0,93%"
34100303131,Tormos,215,1,214,2,1,"0,93%",214,"0,93%"
34040707003,Alcúdia,6854,115,6739,63,1,"0,93%",6739,"0,93%"
34011818126,La Malahá,1085,20,1065,10,1,"0,94%",1065,"0,94%"
34162020051,Legazpi,4204,66,4138,39,1,"0,94%",4138,"0,94%"
34080202016,Bienservida,434,10,424,4,1,"0,94%",424,"0,94%"
34080202038,La Herrera,213,1,212,2,1,"0,94%",212,"0,94%"
34111010049,Casar de Cáceres,3032,66,2966,28,1,"0,94%",2966,"0,94%"
